title,experience,company_name,when_scraped,employment_type,key_skills,salary_max,salary_min
QA Engineer,"[3, 6]",Cicada,15-01-2024 06:19:44,"Полная занятость, удаленная работа",[],,
Инженер по тестированию / QA Engineer,"[1, 3]",DSSL,15-01-2024 06:19:44,"Полная занятость, полный день","['Разработка технических заданий', 'Функциональное тестирование', 'Test case', 'Тестирование', 'QA', 'Python', 'Linux']",,
Data Engineer,[0],Карпов Курсес,15-01-2024 06:19:44,"Полная занятость, удаленная работа",[],,
Специалист технической поддержки бизнес-приложений,"[1, 3]",Coleman Group,15-01-2024 06:19:44,"Полная занятость, удаленная работа","['SQL', 'PostgreSQL', 'Python', 'Английский язык', 'Эффективная коммуникация']",,100000.0
Специалист по работе с нейросетями,"[1, 3]",101 Интернет,15-01-2024 06:19:44,"Полная занятость, удаленная работа","['SEO', 'Работа в команде', 'Работа с большим объемом информации', 'Копирайтинг', 'Python', 'TensorFlow', 'Keras', 'Нейросети', 'ChatGPT', 'Тексты по технической тематике', 'Написание статей', 'Автоматизация']",100000.0,
Программист-стажер,[0],KiberOne (ИП Зивтинь Мария Олеговна),15-01-2024 06:19:44,"Стажировка, гибкий график","['IT', 'Веб-программирование', 'Java', 'Python', '1С программирование', 'Разработка компьютерных Игр', 'Групповое обучение']",30000.0,20000.0
Специалист по тестированию,"[1, 3]",Еврокаппа,15-01-2024 06:19:44,"Полная занятость, полный день",[],,
Data Engineer Junior,"[1, 3]",MTRENDO,15-01-2024 06:19:44,"Полная занятость, полный день","['Анализ данных', 'Аналитическое мышление', 'SQL', 'Python', 'Django Framework', 'Google Cloud Platform', 'Google Big Query', 'Яндекс.Метрика', 'Yandex Data Lens', 'JavaScript', 'DevOps', 'Google Analytics', 'DBT', 'Английский\xa0— B1 — Средний']",150000.0,70000.0
Программист-разработчик,[0],ООО Ворк5,15-01-2024 06:19:44,"Частичная занятость, удаленная работа","['Пользователь ПК', 'Грамотность', 'Написание научных статей', 'SQL', 'Python', 'Qt Creator', 'MATLAB', 'C++', 'MS Excel', 'Scilab', 'Веб-программирование', 'Математическое программирование', 'Разработка ПО']",,
Младший системный программист С/С++,[0],Открытая мобильная платформа,15-01-2024 06:19:44,"Частичная занятость, гибкий график","['Linux', 'C/C++', 'Qt', 'Bash', 'Python', 'DBus', 'systemd', 'rpm', 'openssl']",,
Data/Product Analyst (Стажер/Trainee),[0],Сравни,15-01-2024 06:19:44,"Стажировка, полный день",[],,
Junior Machine Learning разработчик / Удаленно,"[1, 3]",Icons8,15-01-2024 06:19:44,"Полная занятость, удаленная работа","['GAN', 'Diffusion', 'PyTorch', 'OpenCV', 'NumPy', 'Computer Vision', 'Python', 'Machine Learning', 'Deep Learning', 'Машинное обучение', 'ML']",150000.0,
Менеджер по аналитике рынка,"[3, 6]",ЗАО Ферреро Руссия,15-01-2024 06:19:44,"Полная занятость, полный день","['GFK', 'Nielsen', 'Анализ рынка', 'Английский\xa0— B2 — Средне-продвинутый']",,
Аналитик,"[1, 3]",Кухня на районе,15-01-2024 06:19:44,"Полная занятость, полный день","['SQL', 'Python', 'Работа с базами данных']",,
Младший специалист по информационной безопасности в Управление информационной безопасности,"[1, 3]",Лаборатория Касперского,15-01-2024 06:19:44,"Полная занятость, полный день",[],,
Тестировщик,"[1, 3]",ООО АйТи БАСТИОН,15-01-2024 06:19:44,"Полная занятость, полный день","['Linux', 'HTTP', 'Git', 'VMware', 'KVM']",180000.0,120000.0
Тестировщик/QA-специалист,"[1, 3]",ООО ТОП КЕЙС,15-01-2024 06:19:44,"Полная занятость, полный день","['SQL', 'Python', 'Функциональное тестирование', 'Тестирование', 'Test case']",,
Middle Backend Python программист,"[1, 3]",Lexicom,15-01-2024 06:19:44,"Полная занятость, удаленная работа","['Python', 'MongoDB', 'Swagger', 'FastAPI', 'REST', 'Git', 'SQL']",,
Frontend разработчик (Управление перспективных проектов),"[1, 3]","Иннотех, Группа компаний",15-01-2024 06:19:44,"Полная занятость, полный день",[],,
Data Scientist,[0],ЛУКОЙЛ,15-01-2024 06:19:44,"Полная занятость, полный день",[],,
Разработчик БПЛА,"[1, 3]",ООО Лаборатория Наносемантика,15-01-2024 06:19:44,"Полная занятость, гибкий график","['Python', 'Linux', 'C/C++', 'Математическое моделирование', 'Станки ЧПУ', 'Multithread Programming', 'Разработка ПО']",230000.0,200000.0
Тестировщик,"[3, 6]",Точка,15-01-2024 06:19:44,"Полная занятость, полный день","['Java', 'Python', 'Postman', 'Функциональное тестирование', 'API', 'SQL']",356000.0,
QA Engineer в GPT-лабораторию,"[3, 6]",АТОМ,15-01-2024 06:19:44,"Полная занятость, полный день","['CI/CD', 'Allure TestOps', 'SQL', 'Fiddler', 'Swagger', 'Postman', 'QA', 'Python']",,
Программист Python,"[3, 6]",ООО HAAS PLATFORM,15-01-2024 06:19:44,"Полная занятость, полный день",[],,268644.0
Frontend разработчик,"[3, 6]",Компания 7Tech,15-01-2024 06:19:44,"Полная занятость, удаленная работа",[],,
Системный администратор,"[3, 6]",Deliver,15-01-2024 06:19:44,"Полная занятость, полный день",[],,150000.0
Стажер в отдел Digital-маркетинга,[0],FutureToday,15-01-2024 06:19:44,"Полная занятость, удаленная работа",[],40000.0,
Инженер по машинному обучению,"[1, 3]",Делимобиль,15-01-2024 06:19:44,"Полная занятость, полный день","['Python', 'Machine learning', 'Linux', 'Git', 'NLP']",,
Python разработчик (FastAPI),[0],idaproject,15-01-2024 06:19:44,"Полная занятость, полный день",[],,
Junior портфельный аналитик,[0],МТС Банк. Начало Карьеры,15-01-2024 06:19:44,"Полная занятость, полный день",[],,
Системный администратор / Junior DevOps (Linux),"[1, 3]",MinervaSoft,15-01-2024 06:19:44,"Полная занятость, удаленная работа","['Linux', 'Nginx', 'Docker', 'Git', 'CentOS', 'PostgreSQL', 'Администрирование серверов Linux']",,100000.0
"Стажер/Аналитик данных (Python, Power BI)",[0],ППК Фонд развития территорий,15-01-2024 06:19:44,"Стажировка, полный день",[],,
Разработчик / Младший разработчик C++,[0],TrueConf,15-01-2024 06:19:44,"Полная занятость, полный день","['Git', 'Linux', 'MS Visual Studio', 'Английский язык', 'C++17', 'STL', 'ООП', 'Работа в команде', 'Желание постоянно развиваться', 'Адаптивность', 'Инициативность', 'Самообразование']",,100000.0
Аналитик данных / BI-аналитик,"[1, 3]",Hexlet,15-01-2024 06:19:44,"Полная занятость, удаленная работа","['SQL', 'Python', 'Pandas', 'Power BI']",,
Методист,"[1, 3]",Changellenge,15-01-2024 06:19:44,"Полная занятость, удаленная работа",[],100000.0,70000.0
Data Scientist,"[1, 3]",НИТУ МИСИС,15-01-2024 06:19:44,"Полная занятость, полный день",[],150000.0,150000.0
Python разработчик/Python Developer (Продукт: ПАК),[0],Группа компаний Астра,15-01-2024 06:19:44,"Полная занятость, полный день","['Python', 'Linux', 'PostgreSQL', 'Docker']",,
Middle QA-инженер (удаленно),"[3, 6]",АО Просвещение,15-01-2024 06:19:44,"Полная занятость, удаленная работа","['API', 'Проведение тестирований', 'Функциональное тестирование', 'Python', 'Тестирование пользовательского интерфейса', 'Ручное тестирование']",,
QA engineer (внутренний проект),"[1, 3]",Fix Price. IT,15-01-2024 06:19:44,"Полная занятость, удаленная работа","['Функциональное тестирование', 'Atlassian Jira', 'Тестирование', 'SQL', 'Test case', 'Python']",,
"Аналитик SQL,Python","[1, 3]","Иннотех, Группа компаний",15-01-2024 06:19:44,"Полная занятость, удаленная работа","['Аналитическое мышление', 'Анализ данных', 'Бизнес-анализ', 'Работа с большим объемом информации', 'Python', 'SQL', 'Системность']",,
Аналитик,"[1, 3]",Х5 IMPORT,15-01-2024 06:19:44,"Полная занятость, полный день","['SQL', 'Аналитика', 'Qlik Sense', 'MS Excel', 'Power BI', 'PowerQuery', 'Автоматизация', 'Английский\xa0— B1 — Средний']",,
Архитектор DWH,"[3, 6]",Volna.tech,15-01-2024 06:19:44,"Полная занятость, полный день","['SQL', 'СУБД', 'ETL', 'PostgreSQL', 'DWH', 'Базы данных', 'Python', 'Hadoop', 'Постановка задач разработчикам', 'Аналитическое мышление', 'Управление временем', 'Системный анализ', 'Работа с базами данных', 'Разработка технических заданий', 'Хранилище данных', 'Аналитика', 'Архитектор']",500000.0,300000.0
QA,"[3, 6]",Почтатех,15-01-2024 06:19:44,"Полная занятость, полный день",[],,
Python FastAPI разработчик,"[1, 3]",Компания Самолет,15-01-2024 06:19:44,"Полная занятость, удаленная работа","['Python', 'Flask', 'FastAPI', 'Docker', 'Kafka', 'Git', 'CI/CD']",,
Python разработчик,"[1, 3]",SberTech,15-01-2024 06:19:44,"Полная занятость, полный день","['Python', 'Kubernetes', 'PostgreSQL', 'BitBucket', 'Fastapi']",,
Продуктовый аналитик/Product Analyst,"[1, 3]",Винлаб,15-01-2024 06:19:44,"Полная занятость, полный день","['MS SQL', 'Python', 'Аналитические исследования', 'Power BI']",,
QA Director,[6],ANABAR,15-01-2024 06:19:44,"Полная занятость, удаленная работа","['SQL', 'Python', 'JavaScript', 'CI/CD', 'pytest', 'QA', 'Тестирование', 'Английский\xa0— A1 — Начальный']",,
Специалист по нейросетям (Computer Vision/ML Engineer),[0],ООО SARTO REALE,15-01-2024 06:19:44,"Полная занятость, полный день","['ML Engineer', 'Python', 'PyTorch', 'TensorFlow', 'CNN', 'LSTM', 'Keras', 'Numpy', 'нейросети']",,
Middle Python разработчик,"[1, 3]",amoCRM,15-01-2024 06:19:44,"Полная занятость, полный день","['MySQL', 'Python', 'ООП', 'Английский язык', 'amoCRM', 'REST', 'Django Framework', 'Linux', 'Docker', 'Git', 'DevOps', 'Автотестирование', 'Работа с авариями', 'Celery']",100000.0,80000.0
Тестировщик / QA,"[1, 3]",ООО ВижнЛабс (VisionLabs),15-01-2024 06:19:44,"Полная занятость, полный день",[],140000.0,115000.0
Тестировщик,"[1, 3]",ООО ОНИН,15-01-2024 06:19:44,"Полная занятость, полный день",[],,
